epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,phase
1,29.2854,1.44418,6.12117,1.40638,0.47958,0.34213,0.33995,0.21874,1.40626,inf,1.34466,0.00860938,9.38e-06,9.38e-06,1
2,48.2448,1.41221,5.92756,1.3853,0.49971,0.33617,0.33846,0.21872,1.39672,inf,1.33558,0.00711943,1.94253e-05,1.94253e-05,1
3,67.9021,1.40505,5.84279,1.38677,0.53324,0.34318,0.35616,0.23152,1.36839,inf,1.31859,0.00562945,2.94512e-05,2.94512e-05,1
4,86.2341,1.39709,5.73783,1.37664,0.5151,0.3599,0.36725,0.23964,1.35391,inf,1.30659,0.00413944,3.94432e-05,3.94432e-05,1
5,105.973,1.37838,5.64345,1.36771,0.53215,0.36072,0.37335,0.2445,1.34247,inf,1.29754,0.00264939,4.93865e-05,4.93865e-05,1
6,124.717,1.37167,5.61354,1.37191,0.53904,0.36248,0.37735,0.24742,1.33734,inf,1.29498,0.00115927,5.92666e-05,5.92666e-05,1
7,143.761,1.37101,5.50084,1.36176,0.53337,0.36791,0.37842,0.24824,1.33075,inf,1.28693,6.64126e-05,6.64126e-05,6.64126e-05,1
8,162.355,1.36647,5.47606,1.36095,0.5456,0.36364,0.38283,0.25291,1.32661,inf,1.28158,6.62013e-05,6.62013e-05,6.62013e-05,1
9,180.685,1.34106,5.3086,1.34132,0.56071,0.36406,0.38489,0.25411,1.32675,inf,1.28194,6.59581e-05,6.59581e-05,6.59581e-05,1
10,199.518,1.34903,5.28461,1.34265,0.55294,0.37175,0.38744,0.25482,1.32412,inf,1.27963,6.56831e-05,6.56831e-05,6.56831e-05,1
11,219.373,1.33572,5.25728,1.33789,0.56723,0.37191,0.38983,0.25749,1.31855,inf,1.27468,6.53768e-05,6.53768e-05,6.53768e-05,1
12,238.746,1.34114,5.24766,1.34326,0.55159,0.37535,0.39213,0.25885,1.31632,inf,1.27145,6.50393e-05,6.50393e-05,6.50393e-05,1
13,257.297,1.33798,5.16201,1.33633,0.55556,0.38142,0.39218,0.25818,1.3165,inf,1.27395,6.4671e-05,6.4671e-05,6.4671e-05,1
14,276.489,1.31044,5.09985,1.32655,0.54999,0.3815,0.39353,0.25971,1.31547,inf,1.27129,6.42723e-05,6.42723e-05,6.42723e-05,1
